"Nom du problème","Type de problème","Priorité du problème","URL","% du total","Description","Comment corriger","URL d'aide"
"Liens: Liens sortants internes sans texte d'ancrage","Opportunité","Faible","21","100,000","Pages qui ont des liens internes sans texte d'ancrage ou des images qui sont hyperliées sans texte Alt. Le texte d'ancrage est le texte et les mots visibles utilisés dans les liens hypertextes qui fournissent aux utilisateurs et aux moteurs de recherche un contexte sur le contenu de la page cible. Les liens sortants internes sans texte d'ancrage peuvent être vus dans l'onglet « Liens sortants », avec le filtre « Tous les types de liens » défini sur « Hyperlien », où la colonne « Texte d'ancrage » est vide, ou, s'il s'agit d'une image, la colonne « Alt Text » est également vide. Exportez en bloc via Exportation en bloc > Liens > Liens sortants internes sans texte d'ancrage.","Examinez les liens sortants dont le texte d'ancrage est manquant et, le cas échéant, ajoutez un texte d'ancrage utile et descriptif pour aider les utilisateurs et les moteurs de recherche.",""
"Title des pages: En dehors du <head>","Problème","Élevée","6","28,570","Pages dont l'élément <title> se situe en dehors de l'élément <head> dans le HTML. Le <title> de la page doit figurer dans l'élément <head> ; dans le cas contraire, il risque d'être ignoré par les moteurs de recherche. Google reconnaît généralement le titre de la page même s'il est situé en dehors de l'élément <head>, mais ce n'est pas systématique.","Assurez-vous que l'élément <title> se trouve dans l'élément <head> du code HTML d'une page afin que les navigateurs puissent l'utiliser en haut de la fenêtre et que les moteurs de recherche puissent l'utiliser pour le calcul du score.",""
"Contenu: Pages à faible contenu","Opportunité","Moyenne","7","33,330","Pages dont le nombre de mots est inférieur à la valeur par défaut de 200 mots. Le nombre de mots est basé sur les paramètres de la zone de contenu utilisée dans l'analyse, qui peuvent être configurés dans Configuration > Contenu > Domaine. En réalité, il n'y a pas de nombre de mots minimum pour les pages, mais les moteurs de recherche ont besoin d'un texte descriptif pour comprendre l'objectif d'une page. Ce filtre ne doit être utilisé qu'à titre indicatif pour aider à identifier les pages qui pourraient être améliorées par l'ajout d'un contenu plus descriptif dans le contexte du site Web et de l'objectif de la page. Certains sites Web, tels que les sites de commerce électronique, auront naturellement un nombre de mots inférieur, ce qui peut être acceptable si les détails d'un produit peuvent être communiqués efficacement.","Pensez à inclure un contenu descriptif supplémentaire pour aider l'utilisateur et les moteurs de recherche à mieux comprendre la page.",""
"Versions canoniques: En dehors du <head>","Problème","Élevée","6","28,570","Pages contenant un élément d'URL canonique situé en dehors de l'élément <head> dans le HTML. L'élément d'URL canonique doit figurer dans l'élément <head> ; dans le cas contraire, il sera ignoré par les moteurs de recherche.","Assurez-vous que les éléments d'URL canonique sont situés dans l'élément <head> du code HTML d'une page afin qu'ils soient pris en compte par les moteurs de recherche.",""
"Directives: En dehors du <head>","Problème","Élevée","6","8,000","Pages dont la balise meta robots se situe en dehors de l'élément <head> dans le code HTML. La balise meta robots doit figurer dans l'élément <head> ; dans le cas contraire, elle risque d'être ignorée par les moteurs de recherche. Google reconnaît généralement les balises meta robots (telles que la directive ""noindex"") même lorsqu'elles sont situées en dehors de l'élément <head>, mais ce n'est pas systématique.","Afin que les moteurs de recherche respectent les directives spécifiées, assurez-vous de placer les balises meta robots dans l'élément <head> du code HTML d'une page.",""
"Versions canoniques: Canonisé","Avertissement","Élevée","14","66,670","Pages qui ont une version canonique avec une URL différente. L'URL est « canonisée » vers un autre emplacement. Cela signifie qu'il est demandé aux moteurs de recherche de ne pas indexer la page, et que les propriétés d'indexation et de liaison doivent être consolidées vers l'URL de la version canonique.","Ces URL doivent être examinées attentivement pour s'assurer que les signaux d'indexation et de liaison sont consolidés vers la bonne URL. Dans un monde idéal, un site Web n'aurait pas besoin de canoniser des URL, car seules des versions canoniques seraient liées en interne sur un site Web, mais elles sont souvent nécessaires en raison de diverses circonstances indépendantes de notre volonté, et pour éviter les doublons de contenu. Mettez à jour les liens internes vers les versions canoniques des URL lorsque cela est possible.",""
"H2: Manquant","Avertissement","Faible","6","28,570","Pages dont le <h2> est manquant, dont le contenu est vide ou qui ont un espace blanc. Les sous-titres <h2> sont souvent utilisés pour décrire des sections ou des sujets dans un document. Ils servent de repères pour l'utilisateur et peuvent aider les moteurs de recherche à comprendre la page.","Envisagez d'utiliser des <h2> logiques et descriptifs sur les pages importantes, qui aident l'utilisateur et les moteurs de recherche à mieux comprendre la page.",""
"Meta description: En dehors du <head>","Problème","Moyenne","6","28,570","Pages dont la meta description est située en dehors de l'élément <head> dans le code HTML. La meta description doit figurer dans l'élément <head> ; dans le cas contraire, elle risque d'être ignorée par les moteurs de recherche.","Assurez-vous que les meta descriptions se trouvent dans l'élément <head> du HTML d'une page afin que les moteurs de recherche puisse les utiliser comme extraits sur la page des résultats.",""
"Sécurité: En-tête Content-Security-Policy manquant","Avertissement","Faible","48","64,000","URL qui n'ont pas l'en-tête de réponse Content-Security-Policy. Cet en-tête permet à un site Web de contrôler quelles ressources sont chargées pour une page. Cette politique peut aider à se protéger contre les attaques de type script intersites (XSS) qui exploitent la confiance du navigateur dans le contenu reçu du serveur. Le SEO Spider ne vérifie que l'existence de l'en-tête et n'interroge pas les politiques qu'il contient pour déterminer si elles sont bien configurées pour le site Web. Cette opération doit être effectuée manuellement.","Définissez un en-tête de réponse Content-Security-Policy strict pour toutes les pages afin d'atténuer les attaques par script intersites (XSS) et par injection de données.",""
"URL: Traits de soulignement","Opportunité","Faible","6","8,000","URL comportant des caractères de soulignement, qui ne sont pas toujours considérés comme des séparateurs de mots par les moteurs de recherche.","Idéalement, des traits d'union devraient être utilisés comme séparateurs de mots, plutôt que des traits de soulignement. Cependant, modifier une URL est une décision importante et, souvent, cela ne vaut pas la peine de le faire uniquement pour des raisons de référencement. Si des URL sont modifiées, des redirections 301 appropriées doivent être mises en œuvre.",""
